Symbol,Name,IndustryCode,Industry,Sector
NAK,Northern Dynasty Minerals Ltd,51201080,다각적 채굴,
NFGC,New Found Gold Corp,51201060,금,
USAS,Americas Gold and Silver Corporation,51201080,다각적 채굴,
VCXB.U,10X Capital Venture Acquisition III Units,55601010,투자 지주 회사,
VENU,Venu Holding Corp,53301020,레스토랑 및 바,
IAUX,I-80 Gold Corp,51201060,금,
GAU,Galiano Gold Inc,51201060,금,
NBH,Neuberger Berman Municipal Fund Inc.,55501030,폐쇄형 펀드,
RLGT,Radiant Logistics Inc,52405010,"배달, 우편, 항공 화물 및 육상 물류",
GRAF.U,Graf Global Units,55601010,투자 지주 회사,
URG,Ur-Energy Inc,50301010,우라늄,
DC,Dakota Gold Corp,51201060,금,
GRAF,Graf Global Corp,55601010,투자 지주 회사,
BRBS,Blue Ridge Bankshares Inc,55101010,은행,
LPA,Logistic Properties of The Americas,60101010,"부동산 임대, 개발 및 운영",
MTA,Metalla Royalty & Streaming Ltd,51201080,다각적 채굴,
HYLN,Hyliion Holdings Corp,52102040,중전기장비,
AMBI,Ambipar Emergency Response,52203010,환경 서비스 및 장비,
CIX,CompX International Inc,52102010,산업용 기계 및 장비,
LEGT,Legato Merger Corp III,55601010,투자 지주 회사,
SEG,Seaport Entertainment Group Inc,53301040,여가 및 오락시설,
SLI,Standard Lithium Ltd,51201050,특수 채굴 및 금속,
FTF,Franklin Limited Duration Income Trust,55501030,폐쇄형 펀드,
GROY,Gold Royalty Corp,55102020,투자 관리 및 펀드 운영,
ASM,Avino Silver & Gold Mines Ltd,51201080,다각적 채굴,
TMQ,Trilogy Metals Inc,51201080,다각적 채굴,
ERC,Allspring Multi-Sector Income Fund,55501030,폐쇄형 펀드,
REI,Ring Energy Inc,50102020,"오일, 가스 탐사 및 생산",
EVI,EVI Industries Inc,52102010,산업용 기계 및 장비,
OZ,Belpointe PREP Units Class A,55102020,투자 관리 및 펀드 운영,
FLYX,Flyexclusive Inc,52406010,항공사,
NEWP,New Pacific Metals Corp,51201080,다각적 채굴,
LEGT.U,Legato Merger Units,55601010,투자 지주 회사,
EVM,Eaton Vance California Municipal Bond Closed Fund,55501030,폐쇄형 펀드,
NEN,New England Realty Associates LP DRC,60101010,"부동산 임대, 개발 및 운영",
DHY,Credit Suisse High Yield Bond Closed Fund,55501030,폐쇄형 펀드,
CMCL,Caledonia Mining Corporation PLC,51201060,금,
EVBN,Evans Bancorp Inc,55101010,은행,
WRN,Western Copper and Gold Corp,51201080,다각적 채굴,
NHS,Neuberger Berman High Yield Strategies Fund Inc.,55501030,폐쇄형 펀드,
ELMD,Electromed Inc,56101010,첨단 의료 장비 및 기술,
ITRG,Integra Resources Corp,51201080,다각적 채굴,
